INSDC Sequence accession,UniqueID/Isolate,ID,Wild_Cap,location,postal.code,Lat,Long,English,Latin,family,order,NSamplesTested,BirdUSUV,BirdTestedWNV,DateInfo,DeathOrSampleDate
,,3201030032,Captive,Rozenburg,3181,51.9056445,4.2415465,Pyrrhura,Pyrrhura (genus),Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,29-10-2020
,,3201109003,Captive,Oldebroek,8096,52.45673635,5.95186437,Blue-and-yellow Macaw,Ara ararauna,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,08-11-2020
,,3201111045,Captive,Den Haag,2562,52.0799838,4.3113461,Red-crowned Parakeet,Cyanoramphus novaezelandiae,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,10-11-2020
,,3201116022,Captive,Hem,1607,52.6607793,5.1835446,Crowned Crane,Balearica (genus),Gruidae,Gruiformes,1,0,TRUE,DateSampling,16-11-2020
,,3201120024,Captive,Heino,8141,52.4361877,6.2337581,Budgerigar,Melopsittacus undulatus,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,18-11-2020
,,3201125001,Captive,Rietmolen,7165,52.1405464,6.6625951,Common Canary,Serinus canaria,Fringillidae,Passeriformes,1,0,TRUE,DateSampling,25-11-2020
,,3201204008,Captive,Heerlen,6413,50.8775239,5.981506585,Amazon Parrot,Amazona (genus),Psittacidae,Psittaciformes,1,0,TRUE,DateSampling,04-12-2020
,,3201204007,Captive,Barneveld,3771,52.17150665,5.645439249,Eurasian Collared Dove,Streptopelia decaocto,Columbidae,Columbiformes,1,0,TRUE,DateSampling,04-12-2020
,,3201210023,Captive,Woerden,3443,52.0859261,4.8832939,Zebra Finch,Taeniopygia (genus),Estrildidae,Passeriformes,1,0,TRUE,DateDeath,09-12-2020
,,3201214025,Captive,Ter Apel,9561,52.8742433,7.0617746,Tawny Owl,Strix aluco,Strigidae,Strigiformes,1,0,TRUE,DateDeath,11-12-2020
,,3201228006,Captive,Utrecht,3524,52.0907006,5.1215634,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,27-12-2020
,,3210105025,Captive,Antwerpen,2100,51.3995457,5.3472854,Eclectus Parrot,Eclectus roratus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,03-01-2021
,,3210105033,Captive,Gouderak,2831,51.9850806,4.6755692,Hyacinth Macaw,Anodorhynchus hyacinthinus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,03-01-2021
,,3210107002,Captive,Feanwalden,9269,53.2371902,5.9944367,Gouldian Finch,Chloebia gouldiae,Passeridae,Passeriformes,1,0,TRUE,DateDeath,03-01-2021
,,3210106004,Captive,Boschoord,8387,52.8989883,6.2273919,Common Canary,Serinus canaria,Fringillidae,Passeriformes,1,0,TRUE,DateSampling,06-01-2021
,,3210225010,Captive,Stavenisse,4696,51.5859884,4.0126377,Red-flanked Lorikeet,Charmosyna placentis,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,21-02-2021
,,3210304024,Captive,Erica,7887,52.7158137,6.926866,Common Canary,Serinus canaria,Fringillidae,Passeriformes,1,0,TRUE,DateDeath,26-02-2021
,,3210305009,Captive,Wilnis,3648,52.195378,4.899067,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,03-03-2021
,,3210308016,Captive,Oosterbeek,6862,51.9884489,5.8420484,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateSampling,08-03-2021
,,3210311001,Captive,Ede,6714,52.07168255,5.745510631,Cockatiel,Nymphicus hollandicus,Cacatuidae,Psittaciformes,1,0,TRUE,DateDeath,09-03-2021
,,3210316032,Captive,Wilnis,3648,52.195378,4.899067,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,15-03-2021
,,3210322026,Captive,Hoofddorp,2134,52.305554,4.6926644,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,21-03-2021
,,3210406049,Captive,Valkenburg,2235,50.8647531,5.8312518,Peach-faced Lovebird,Agapornis roseicollis,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,05-04-2021
,,3210408014,Captive,Groningen,9734,53.2190652,6.5680077,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateSampling,08-04-2021
,,3210415029,Captive,Amsterdam,1073,52.3730796,4.8924534,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,14-04-2021
,,3210429002,Captive,Heesch,5384,51.73519,5.5266331,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateSampling,29-04-2021
,,3210503028,Captive,Barneveld,4005,52.17150665,5.645439249,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateSampling,03-05-2021
,,3210512013,Captive,Veendam,9641,53.0807517,6.877303483,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,10-05-2021
,,3210519002,Captive,Losser,7581,52.300289,6.988104272,Common Canary,Serinus canaria,Fringillidae,Passeriformes,1,0,TRUE,DateDeath,19-05-2021
,,3210601001,Captive,Deurne,5753,51.4283287,5.827965297,Red-and-green Macaw,Ara chloropterus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,31-05-2021
,,3210607016,Captive,Nieuw-Schoonbeek,7766,52.64836183,6.986667032,Lovebird,Agapornis (genus),Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,03-06-2021
,,3210607003,Captive,Boskoop,2771,52.0742348,4.6631166,Gouldian Finch,Chloebia gouldiae,Passeridae,Passeriformes,1,0,TRUE,DateDeath,04-06-2021
,,3210607042,Captive,Bennekom,6721,52.0015947,5.6756511,Andean Cock-of-the-rock,Rupicola peruvianus,Cotingidae,Passeriformes,1,0,TRUE,DateDeath,05-06-2021
,,3210607043,Captive,Bennekom,6721,52.0015947,5.6756511,Choco Toucan,Ramphastos brevis,Ramphastidae,Piciformes,1,0,TRUE,DateDeath,05-06-2021
,,3210611021,Captive,Utrecht,3584,52.0907006,5.1215634,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,1,0,TRUE,DateSampling,11-06-2021
,,3210623005,Captive,Nieuwegein,3435,52.0298704,5.092933378,Lovebird,Agapornis (genus),Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,22-06-2021
,,3210707001,Captive,Dordrecht,3328,51.7689546,4.686789054,Common Canary,Serinus canaria,Fringillidae,Passeriformes,1,0,TRUE,DateDeath,05-07-2021
,,3210716050,Captive,Rotterdam,,51.9244424,4.47775,Snowy Owl,Bubo scandiacus,Strigidae,Strigiformes,1,0,TRUE,DateSampling,16-07-2021
,,3210729002,Captive,Meerstad,9613,53.2238932,6.657085196,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateSampling,29-07-2021
,,3210810026,Captive,Erica,7887,52.7158137,6.926866,Blue-naped Parrot,Tanygnathus lucionensis,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,07-08-2021
,,3210810027,Captive,Erica,7887,52.7158137,6.926866,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,07-08-2021
,,3210810028,Captive,Sassenheim,2171,52.2246356,4.5199218,Java Sparrow,Padda oryzivora,Passeridae,Passeriformes,1,0,TRUE,DateDeath,09-08-2021
,,3210818021,Captive,Erica,7887,52.7158137,6.926866,Yellow-crowned Parrot,Amazona ochrocephala,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,15-08-2021
,,3210818023,Captive,Erica,7887,52.7158137,6.926866,Southern Mealy Amazon,Amazona farinosa,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,17-08-2021
,,3210820005,Captive,Den Haag,2548,52.0799838,4.3113461,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,20-08-2021
,,3210831019,Captive,Geesbrug,7917,52.7282834,6.6338274,Common Canary,Serinus canaria,Fringillidae,Passeriformes,5,0,TRUE,DateDeath,24-08-2021
,,3210827038,Captive,Den Haag,2594,52.0799838,4.3113461,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,27-08-2021
,,3210903006,Captive,Amsterdam,1106,52.3730796,4.8924534,Ara,Ara (genus),Psittacidae,Psittaciformes,5,0,TRUE,DateDeath,01-09-2021
,,3210901022,Captive,Enschede,7546,52.22336325,6.870595664,Cardinal,Cardinalidae (fam),Cardinalidae,Passeriformes,2,0,TRUE,DateDeath,01-09-2021
,,3210906028,Captive,Meteren,4194,51.8637206,5.2834238,Cockatoo,Cacatua (genus),Cacatuidae,Psittaciformes,2,0,TRUE,DateDeath,06-09-2021
,,3210906029,Captive,Gouda,2804,52.01811935,4.711122134,Muscovy Duck,Cairina moschata,Anatidae,Anseriformes,3,0,TRUE,DateDeath,06-09-2021
,,3210921004,Captive,Amersfoort,3825,52.1562499,5.3896944,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateSampling,21-09-2021
,,3210921032,Captive,Utrecht,3584,52.0907006,5.1215634,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,5,1,TRUE,DateDeath,21-09-2021
,,3210922004,Captive,Nieuwveen,2441,52.1966234,4.7562198,Lovebird,Agapornis (genus),Psittaculidae,Psittaciformes,1,0,TRUE,DateSampling,22-09-2021
,,3210928001,Captive,Krommenie,1562,52.4954557,4.7664946,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,27-09-2021
,,3211014022,Captive,Kollum,9291,53.279805,6.148734,Blue-and-yellow Macaw,Ara ararauna,Psittacidae,Psittaciformes,1,0,TRUE,DateSampling,14-10-2021
,,3211021004,Captive,Bennekom,6721,52.0015947,5.6756511,Bird-of-paradise,Paradisaeidae (fam),Paradisaeidae,Passeriformes,1,0,TRUE,DateSampling,21-10-2021
,,3211022022,Captive,Nederhorst den Berg,1394,52.2638961,5.0452103,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,22-10-2021
,,3211028002,Captive,Nieuwegein,3431,52.0298704,5.092933378,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,27-10-2021
,,3211029008,Captive,Erica,7887,52.7158137,6.926866,Bluethroat,Luscinia svecica,Muscicapidae,Passeriformes,1,0,TRUE,DateDeath,28-10-2021
,,3211118002,Captive,Vleuten,3452,52.1073555,5.0135224,Budgerigar,Melopsittacus undulatus,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,17-11-2021
,,3211122003,Captive,Den Haag,2586,52.0799838,4.3113461,Humboldt's Penguin,Spheniscus humboldti,Spheniscidae,Sphenisciformes,1,0,TRUE,DateDeath,21-11-2021
,,3211129028,Captive,Houten,,52.0271433,5.1620637,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateSampling,29-11-2021
,,3211203001,Captive,Erica,7887,52.7158137,6.926866,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,5,0,TRUE,DateDeath,01-12-2021
,,3211207005,Captive,Bennekom,6721,52.0015947,5.6756511,Red Bird Of Paradise,Paradisaea rubra,Paradisaeidae,Passeriformes,1,0,TRUE,DateDeath,03-12-2021
,,3211207006,Captive,Bennekom,6721,52.0015947,5.6756511,Mountain Toucan,Andigena (genus),Ramphastidae,Piciformes,1,0,TRUE,DateDeath,04-12-2021
,,3211215004,Captive,Kronenberg,5976,51.4157547,5.9994823,Parrot,Psittaciformes (order),Unknown,Psittaciformes,1,0,TRUE,DateDeath,12-12-2021
,,3211214005,Captive,Almere,1349,52.3705038,5.2185859,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateSampling,14-12-2021
,,3211215027,Captive,Lelystad,8242,52.53668095,5.361043525,Pyrrhura,Pyrrhura (genus),Psittacidae,Psittaciformes,1,0,TRUE,DateSampling,15-12-2021
,,3211230002,Captive,Bennekom,6721,52.0015947,5.6756511,Keel-billed Toucan,Ramphastos sulfuratus,Ramphastidae,Piciformes,1,0,TRUE,DateDeath,25-12-2021
,,3220103001,Captive,"Vinkel, Dierenbos",5382,51.70510362,5.430589863,Greater Rhea,Rhea americana,Rheidae,Rheiformes,1,0,TRUE,DateDeath,31-12-2021
,,3220107001,Captive,Heesch,5384,51.73519,5.5266331,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,03-01-2022
,,3220106007,Captive,Wilnis,3648,52.195378,4.899067,Common Canary,Serinus canaria,Fringillidae,Passeriformes,1,0,TRUE,DateSampling,06-01-2022
,,3220217001,Captive,Bennekom,6721,52.0015947,5.6756511,Keel-billed Toucan,Ramphastos sulfuratus,Ramphastidae,Piciformes,1,0,TRUE,DateDeath,13-02-2022
,,3220215002,Captive,Erica,7887,52.7158137,6.926866,Pin-tailed Whydah,Vidua macroura,Estrildidae,Passeriformes,1,0,TRUE,DateSampling,15-02-2022
,,3220303022,Captive,Wilnis,3648,52.195378,4.899067,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateSampling,03-03-2022
,,3220311002,Captive,Utrecht,3522,52.0907006,5.1215634,Barred Parakeet,Bolborhynchus lineola,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,10-03-2022
,,3220316001,Captive,Bennekom,6721,52.0015947,5.6756511,Hornbill,Bucerotidae (fam),Bucerotidae,Bucerotiformes,1,0,TRUE,DateDeath,11-03-2022
,,3220316004,Captive,Made,4921,51.6773008,4.7931811,Blue-faced Parrotfinch,Erythrura trichroa,Estrildidae,Passeriformes,1,0,TRUE,DateDeath,15-03-2022
,,3220316005,Captive,Made,4921,51.6773008,4.7931811,Blue-faced Parrotfinch,Erythrura trichroa,Estrildidae,Passeriformes,1,0,TRUE,DateDeath,15-03-2022
,,3220405005,Captive,Bennekom,6721,52.0015947,5.6756511,Red-breasted Toucan,Ramphastos dicolorus,Ramphastidae,Piciformes,1,0,TRUE,DateDeath,02-04-2022
,,3220405004,Captive,Bennekom,6721,52.0015947,5.6756511,Red-breasted Toucan,Ramphastos dicolorus,Ramphastidae,Piciformes,1,0,TRUE,DateDeath,03-04-2022
,,3220405006,Captive,Zegge,4735,51.5558698,4.5167245,Budgerigar,Melopsittacus undulatus,Psittaculidae,Psittaciformes,1,0,TRUE,DateSampling,05-04-2022
,,3220406009,Captive,Hogerwaard,,51.4317231,4.2690766,Cockatiel,Nymphicus hollandicus,Cacatuidae,Psittaciformes,1,0,TRUE,DateSampling,06-04-2022
,,BEC 16.0 15-011 NL3592,Captive,Schijf,4721,51.4974207,4.5590355,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,5,1,TRUE,DateDeath,21-07-2022
,,4741SN_V,Captive,Unknown,,NA,NA,Eurasian Wigeon,Mareca penelope,Anatidae,Anseriformes,1,1,TRUE,DateDeath,15-08-2022
,,4741RK_V,Captive,Unknown,,NA,NA,Common Scoter,Melanitta nigra,Anatidae,Anseriformes,1,1,TRUE,DateDeath,17-08-2022
,,4741SN-M,Captive,Unknown,,NA,NA,Ross' Goose,Anser rossii,Anatidae,Anseriformes,1,0,TRUE,DateDeath,20-08-2022
,,4741RK_M,Captive,Unknown,,NA,NA,Common Scoter,Melanitta nigra,Anatidae,Anseriformes,1,1,TRUE,DateDeath,20-08-2022
